zip,city,state,latitude,longitude,population
60629,Chicago,IL,41.78,-87.7,113916
79936,El Paso,TX,31.78,-106.31,111086
11368,Corona,NY,40.75,-73.85,109931
90650,Norwalk,CA,33.91,-118.08,105549
90011,Los Angeles,CA,34.01,-118.26,103892
91331,Pacoima,CA,34.26,-118.42,103689
11226,Brooklyn,NY,40.65,-73.96,101572
90201,Bell Gardens,CA,33.98,-118.17,101279
11373,Elmhurst,NY,40.74,-73.88,100820
11220,Brooklyn,NY,40.64,-74.02,99598
11385,Ridgewood,NY,40.7,-73.88,98592
10467,Bronx,NY,40.88,-73.87,97060
92335,Fontana,CA,34.09,-117.46,95397
77084,Houston,TX,29.83,-95.66,95137
10025,New York,NY,40.8,-73.97,94600
11208,Brooklyn,NY,40.67,-73.87,94469
90280,South Gate,CA,33.94,-118.19,94396
77449,Katy,TX,29.83,-95.73,94382
11236,Brooklyn,NY,40.64,-73.9,93877
78521,Brownsville,TX,26.0,-97.3,93818
90805,Long Beach,CA,33.86,-118.18,93524
11207,Brooklyn,NY,40.67,-73.9,93386
90250,Hawthorne,CA,33.91,-118.35,93193
08701,Lakewood,NJ,40.07,-74.21,92843
11219,Brooklyn,NY,40.63,-74.0,92221
60623,Chicago,IL,41.84,-87.72,92108
60618,Chicago,IL,41.95,-87.7,92084
91342,Sylmar,CA,34.3,-118.4,91725
60632,Chicago,IL,41.82,-87.69,91326
60639,Chicago,IL,41.92,-87.76,90407
11211,Brooklyn,NY,40.71,-73.95,90117
11377,Woodside,NY,40.75,-73.91,89830
90044,Los Angeles,CA,33.95,-118.29,89779
92683,Westminster,CA,33.75,-117.99,89747
00725,Caguas,PR,18.2,-66.1,89374
75052,Grand Prairie,TX,32.65,-97.02,88996
11214,Brooklyn,NY,40.6,-74.01,88630
92336,Fontana,CA,34.15,-117.46,88419
92704,Santa Ana,CA,33.72,-117.91,88123
11234,Brooklyn,NY,40.61,-73.89,87757
60647,Chicago,IL,41.92,-87.7,87291
10456,Bronx,NY,40.83,-73.91,86547
11230,Brooklyn,NY,40.62,-73.97,86408
92804,Anaheim,CA,33.82,-117.98,85914
11355,Flushing,NY,40.75,-73.83,85871
10314,Staten Island,NY,40.6,-74.15,85510
91744,La Puente,CA,34.03,-117.93,85040
94565,Pittsburg,CA,38.0,-121.9,84641
60804,Cicero,IL,41.84,-87.76,84573
92503,Riverside,CA,33.9,-117.45,84519
11212,Brooklyn,NY,40.66,-73.92,84500
60617,Chicago,IL,41.73,-87.55,84155
91911,Chula Vista,CA,32.6,-117.04,82999
60608,Chicago,IL,41.85,-87.68,82739
93033,Oxnard,CA,34.15,-119.14,82728
93307,Bakersfield,CA,35.2,-118.8,82658
95076,Watsonville,CA,36.9,-121.7,82474
11206,Brooklyn,NY,40.7,-73.94,81677
92376,Rialto,CA,34.1,-117.39,81516
10002,New York,NY,40.72,-73.99,81410
91710,Chino,CA,34.01,-117.7,80358
75217,Dallas,TX,32.7,-96.68,80324
30043,Lawrenceville,GA,34.01,-84.01,80241
11229,Brooklyn,NY,40.6,-73.94,80018
